семейство,ассоциации,характеристики
восточные,шоколад;карамель;дым;благовоние;смола;пряный;древесный;ладан;табак;амбра;мускус;ваниль;кофе;черный чай;роза,плотный;насыщенный;торжественный;чувственный;томный;тяжелый;интенсивный;сухой;роскошный
древесные,сандал;мох;папоротник;древесный;смола;дым;земля;металл;кедр,теплый;сливочный;сладкий;чувственный;согревающий;таинственный
цитрусовые,апельсин;лайм;грейпфрут;лимон;бергамот;виноград;персик,легкий;свежий;бодрящий;энергичный;жизнерадостный;спортивный;интенсивный;тонизирующий;яркий
фруктовые,,сладкий;свежий;игривый;необычный
свежие,горный воздух;морозная свежесть;огурец;зеленое яблоко;белый чай;зеленый чай,тонкий;свежий;ненавязчивый;морской;спокойный
шипровые,мох;бергамот,чувственный;согревающий;таинственный
пряные,перец;корица;гвоздика;куркума;имбирь;орех,согревающий;активный;острый
цветочные,,сладкий;массивный;свежий;легкий
фужерные,папоротник;лаванда;герань;мох;бергамот;сухая трава;трава;листья;лаванда,терпкий;пряно-горький
мускусные,,теплый;мягкий;пряный;древесный;телесный;ненавязчивый;притягательный